"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj1",4,424,"their","filler-item27",NA,NA,"filler"
"subj1",5,383,"clients","filler-item27",NA,NA,"filler"
"subj1",6,401,"dry","filler-item27",NA,NA,"filler"
"subj1",7,384,"before","filler-item27",NA,NA,"filler"
"subj1",8,407,"the","filler-item27",NA,NA,"filler"
"subj1",9,385,"market","filler-item27",NA,NA,"filler"
"subj1",10,392,"crashed.","filler-item27",NA,NA,"filler"
"subj1",1,376,"A","filler-item24",NA,NA,"filler"
"subj1",2,424,"burglar","filler-item24",NA,NA,"filler"
"subj1",3,417,"tried","filler-item24",NA,NA,"filler"
"subj1",4,358,"to","filler-item24",NA,NA,"filler"
"subj1",5,345,"fight","filler-item24",NA,NA,"filler"
"subj1",6,480,"with","filler-item24",NA,NA,"filler"
"subj1",7,496,"a","filler-item24",NA,NA,"filler"
"subj1",8,448,"policeman","filler-item24",NA,NA,"filler"
"subj1",9,360,"last","filler-item24",NA,NA,"filler"
"subj1",10,424,"Friday","filler-item24",NA,NA,"filler"
"subj1",11,368,"and","filler-item24",NA,NA,"filler"
"subj1",12,400,"the","filler-item24",NA,NA,"filler"
"subj1",13,432,"policeman","filler-item24",NA,NA,"filler"
"subj1",14,400,"arrested","filler-item24",NA,NA,"filler"
"subj1",15,400,"him.","filler-item24",NA,NA,"filler"
"subj1",1,416,"No","filler-item14",NA,NA,"filler"
"subj1",2,464,"soft","filler-item14",NA,NA,"filler"
"subj1",3,432,"drink","filler-item14",NA,NA,"filler"
"subj1",4,464,"commercial","filler-item14",NA,NA,"filler"
"subj1",5,472,"made","filler-item14",NA,NA,"filler"
"subj1",6,488,"a","filler-item14",NA,NA,"filler"
"subj1",7,488,"big","filler-item14",NA,NA,"filler"
"subj1",8,504,"impression.","filler-item14",NA,NA,"filler"
"subj1",9,464,"end","item16","every","respred","experiment"
"subj1",9,400,"the","item15","each","respred","experiment"
"subj1",8,367,"to","item1","each","nopred","experiment"
"subj1",8,423,"about","item2","every","nopred","experiment"
"subj1",8,448,"by","item10","every","nopred","experiment"
"subj1",8,417,"very","item17","each","nopred","experiment"
"subj1",8,464,"to","item6","every","nopred","experiment"
"subj1",9,488,"popular","item4","every","respred","experiment"
"subj1",9,376,"any","item11","each","respred","experiment"
"subj1",9,304,"trip","item13","each","nopred","experiment"
"subj1",9,400,"regulations","item12","every","respred","experiment"
"subj1",9,520,"break.","item7","each","respred","experiment"
"subj1",8,432,"to","item5","each","nopred","experiment"
"subj1",8,345,"instructor","item9","each","nopred","experiment"
"subj1",9,312,"last","item3","each","respred","experiment"
"subj1",9,344,"workshop","item8","every","respred","experiment"
"subj1",8,416,"the","item18","every","nopred","experiment"
"subj1",8,361,"the","item14","every","nopred","experiment"
"subj10",1,962,"Last","filler-item22",NA,NA,"filler"
"subj10",2,774,"summer%2C","filler-item22",NA,NA,"filler"
"subj10",3,838,"only","filler-item22",NA,NA,"filler"
"subj10",4,814,"one","filler-item22",NA,NA,"filler"
"subj10",5,849,"journalist","filler-item22",NA,NA,"filler"
"subj10",6,802,"was","filler-item22",NA,NA,"filler"
"subj10",7,1007,"allowed","filler-item22",NA,NA,"filler"
"subj10",8,992,"to","filler-item22",NA,NA,"filler"
"subj10",9,1062,"interview","filler-item22",NA,NA,"filler"
"subj10",10,763,"each","filler-item22",NA,NA,"filler"
"subj10",11,894,"famous","filler-item22",NA,NA,"filler"
"subj10",12,858,"rock","filler-item22",NA,NA,"filler"
"subj10",13,500,"star.","filler-item22",NA,NA,"filler"
"subj10",1,1053,"No","filler-item18",NA,NA,"filler"
"subj10",2,1052,"tornadoes","filler-item18",NA,NA,"filler"
"subj10",3,873,"threatened","filler-item18",NA,NA,"filler"
"subj10",4,863,"more","filler-item18",NA,NA,"filler"
"subj10",5,962,"than","filler-item18",NA,NA,"filler"
